Dutch,English
ik,I
je,you
het,It
de,the
dat,that
is,is
een,An
niet,not 
en,and
van,by
wat,what
we,we
in,in
ze,she
hij,he
te,at
zijn,are
op,on
maar,but
er,there
met,of
voor,for
die,That
heb,have
me,me
als,when
was,used to be
ben,am
om,to
dit,this
mijn,mine
aan,On
u,you
dan,than
n,n
naar,Unpleasant
weet,know
hier,here
zo,Like this
jij,you
kan,can
geen,no
nog,yet
ja,Yes
hem,it
heeft,has
wel,well
moet,must
wil,want to
hebben,to have
goed,Good
haar,her
nee,no
hoe,how
nu,now
waar,Where
over,about
ook,also
doen,doing
uit,out 
zou,would
ga,go
of,or
gaan,to go
bent,are
mij,me
bij,bee
al,already
ons,us
had,had
iets,something
daar,over there
jullie,you
gaat,go
zal,shall
m,m
hebt,have
kom,bowl
waarom,Why
meer,more
deze,this
moeten,must
t,t
laat,leave
kunnen,be able to
dus,So
jou,you
denk,think
wie,Who
alles,everything
echt,Real
doe,off
door,Through
alleen,only
s,s
toch,However
zien,to see
weg,away
eens,at sometime
man,man
misschien,maybe
laten,to leave
nooit,never
nou,Well
zei,said
terug,back
oké,Okay
mee,along
niets,nothing
iemand,someone
komt,comes
toen,when
veel,a lot of
even,for a bit
onze,our
gewoon,Ordinary
weten,know
komen,come
nodig,necessary
mensen,people
tot,until
worden,become
zeggen,say
tijd,time
weer,weather
leven,to live
twee,two
net,just
tegen,in return for
maken,to make
uw,your
zeg,say
omdat,because
zit,sit
wordt,is becoming
z,Z
hou,keep
kijk,look
heel,all
wij,We
altijd,always
mag,allowed
gedaan,done
dood,dead
zeker,Certainly
af,off
jaar,year
hun,their
wilde,wild
dag,day
allemaal,all
jouw,your
huis,house
dacht,thought
doet,do
vader,father
kunt,can
wacht,guard
zie,see 
vrouw,woman
keer,time
andere,Others
zoals,as
zij,she
dank,thanks
anders,otherwise
geef,give
waren,goods
willen,want
zich,himself
bedankt,Thank you
één,An
mr,MR
erg,terribly
wilt,want
praten,to talk
spijt,regret
geld,money
kon,could
werk,work
oh,Oh
iedereen,everyone
beter,better
werd,became
moeder,mother
niemand,no one
vinden,find
staat,stands
gezien,seen
niks,nothing
binnen,inside
zitten,to sit
zullen,shall
na,after
helpen,to help
wist,knew
vind,find
genoeg,enough
sorry,Sorry
vast,fixed
elkaar,each other
ging,went
uur,o'clock
klaar,finished
hele,whole
neem,take
leuk,nice
natuurlijk,Naturally
alle,all
god,God
maak,make
lang,long
kwam,came
graag,Please
hé,Hey
toe,ate
drie,three
zegt,say
bedoel,mean
deed,held
dingen,stuff
maakt,makes
alsjeblieft,please
eerste,first
krijgen,to get
zonder,without
steeds,still
hallo,Hello
houden,to hold
vertellen,narrate
ziet,sees
idee,idea
geven,to give
achter,behind
geweest,been
blijven,to stay
helemaal,absolutely
mooi,Nice
onder,below
kijken,to look
zag,saw
goede,good  
naam,name
moest,had to
blijf,stay
kun,abundance
auto,car
luister,listen
grote,great
lijkt,suits
snel,fast
ooit,ever 
vragen,to ask
paar,couple
wanneer,when
want,because
meneer,sir
nieuwe,new ones
gebeurd,happened
zorgen,to assure
vriend,friend
beetje,bit
kinderen,children
gek,crazy
hand,hand
vraag,ask
laatste,last
geweldig,awesome
hadden,had
zelfs,even
enige,any
bang,anxious
nemen,to take
samen,together
eten,to eat
o,O
zelf,yourself
hoor,hear
geleden,past
staan,to stand
gevonden,found it
jongen,boy
denken,think
vandaag,Today
denkt,thinks
beste,Best
gezegd,said
thuis,At home
wereld,world
jongens,boys
heen,to
ken,know
hen,them
eerst,first
eigen,own
zoon,son
gelijk,directly
buiten,outside
vertel,tell
morgen,tomorrow
meisje,girl
probleem,problem
alsof,as if
geloof,believe
halen,to fetch 
familie,family
elke,each  
zouden,would
hoop,heap
politie,Police
mannen,men
bijna,almost
vermoord,murdered
eigenlijk,actually
werken,to work
verdomme,damn
horen,to belong
manier,way
zat,fed up
vrienden,friends
precies,precisely
kind,child
hè,Hey
kleine,little
begrijp,understand
wou,wish
geeft,gives
orde,order
houdt,holds
verder,further
vroeg,early
stop,Stop
wachten,to wait
rustig,Calm
hoofd,head
krijg,get
daarom,therefore
gebeurt,happens
soms,sometimes
volgens,according to
dagen,to dawn
vond,found
krijgt,gets
gemaakt,made
kant,side
werkt,works
open,Open
gehad,having
voel,feel
zaak,case
blij,pleased
volgende,next one
zoek,search
kans,opportunity
vanavond,this evening
bel,call
probeer,try
zoeken,to search
oude,old
ding,thing
moment,moment
best,best
tussen,between
plaats,place
pas,pass
gehoord,heard
vijf,five
verteld,told
zet,sets
prima,fine
hulp,staff
stad,city
vindt,finds
brengen,to take
pijn,pain
slecht,bad
geloven,to believe
eruit,out
minuten,minute
school,school
plan,plan
broer,brother
pak,business suit
jezelf,yourself
hoeveel,how many
kamer,room
betekent,means
spreken,speak
juist,correct
heet,is called
soort,kind
haal,get
ergens,somewhere
vier,four
gebruiken,to use
ligt,is
blijft,stays
welke,which
proberen,to attempt
dokter,doctor
agent,agent
help,Help
later,later
voordat,before
ogen,eyes
vrij,free
klopt,Correct
gaf,gave
foto,photo
word,become
zodat,so that
dochter,daughter
problemen,issues
plek,place
water,water
kent,knows
week,week
beginnen,to start
praat,talking
eerder,earlier
lk,lk
mis,mass
handen,hands
deur,door
baby,baby
bellen,to call
boven,upper
groot,big
echte,real
hoeft,needs
ie,ie
doden,kill
stoppen,fuses
moeilijk,difficult
dr,Dr.
sinds,since
land,land
spelen,to play
zoveel,so much
hetzelfde,the same
mevrouw,Madam
snap,snap
breng,bring
pakken,to take
druk,Busy
verhaal,story
lekker,Tasty
vrouwen,women
schat,Darling
vergeten,forget
gebeuren,to happen
ervan,of it
kreeg,got
waarschijnlijk,probably
hoi,Hi
mogelijk,possibly
mooie,nice
bloed,blood
wees,orphan
nacht,night
nieuws,news
bed,bed
liet,let
lopen,to walk
gelukkig,happy
waarheid,truth
reden,rode
papa,Daddy
hoorde,heard
klinkt,sounds
maanden,months
vermoorden,murder
zorg,concern
dollar,dollar
bezig,busy
voorbij,past
terwijl,while
sta,stand
zaken,Affairs
avond,evening
tien,ten
schuld,debt
veilig,safe
redden,to rescue
hart,heart
zult,will
duidelijk,clearly
stel,couple
the,the
schiet,shooting
eraan,there
zes,six
begin,get started
gekomen,arrived
vol,full
vriendin,female friend
rond,round
voelt,feel
baas,boss
moord,murder
